accession	tax_id	technology	date	species	assembly_size	class	group
GCF_958295425.1	90069	HiFi	2023-07-06	Solea solea	643757955	Actinopteri	bony fishes
GCF_963082965.1	217509	HiFi	2023-08-09	Carassius carassius	1684296438	Actinopteri	bony fishes
GCF_963259705.1	98922	HiFi	2023-08-20	Myotis daubentonii	2127807131	Mammalia	bats
GCF_963455315.2	9731	HiFi	2024-09-07	Globicephala melas	2651276051	Mammalia	whales & dolphins
GCF_963506605.1	8524	HiFi	2023-09-20	Zootoca vivipara	1440239386	Lepidosauria	lizards & snakes
GCF_963514075.1	82655	HiFi	2023-09-29	Conger conger	1136402888	Actinopteri	bony fishes
GCF_963576545.1	27771	HiFi	2023-11-03	Limanda limanda	717580706	Actinopteri	bony fishes
GCF_963584025.1	508554	HiFi	2023-11-05	Labrus mixtus	740563171	Actinopteri	bony fishes
GCF_963662255.1	127875	HiFi	2023-12-11	Cinclus cinclus	1170837027	Aves	birds
GCF_963691925.1	13677	HiFi	2023-12-07	Scomber scombrus	764141294	Actinopteri	bony fishes
GCF_963692335.1	29151	HiFi	2023-12-11	Osmerus eperlanus	508721272	Actinopteri	bony fishes
GCF_963854185.1	27697	HiFi	2023-12-14	Sardina pilchardus	869396467	Actinopteri	bony fishes
GCF_963921805.1	9209	HiFi	2024-02-09	Phalacrocorax carbo	1283623959	Aves	birds
GCF_963924245.1	1192867	HiFi	2024-01-20	Chroicocephalus ridibundus	1417554307	Aves	birds
GCF_963924675.1	9742	HiFi	2024-01-29	Phocoena phocoena	2512713112	Mammalia	whales & dolphins
GCF_963924715.1	8237	HiFi	2024-01-29	Thunnus thynnus	799047066	Actinopteri	bony fishes
GCF_963930625.1	9886	HiFi	2024-01-31	Muntiacus reevesi	2656168540	Mammalia	even-toed ungulates & whales
GCF_963930695.1	56723	HiFi	2024-01-31	Labrus bergylta	720210020	Actinopteri	bony fishes
GCF_963932015.1	28680	HiFi	2024-02-07	Anas acuta	1189296988	Aves	birds
GCF_964237555.1	9986	HiFi	2024-08-31	Oryctolagus cuniculus	2804657419	Mammalia	rabbits & hares
